date,open,max_v,min_v,close,volume,crypto
2021-04-05,"481,53","548,84","477,78","548,84",4.164.288.206,bitcoincash
2021-04-04,"456,30","483,27","452,45","481,42",1.880.326.452,bitcoincash
2021-04-03,"498,01","508,97","456,38","456,39",2.711.436.660,bitcoincash
2021-04-02,"476,79","512,05","468,80","498,05",2.950.570.365,bitcoincash
2021-04-01,"463,24","478,68","454,90","476,85",2.777.494.987,bitcoincash
2021-03-31,"450,19","465,87","434,21","463,22",2.642.220.634,bitcoincash
2021-03-30,"442,38","457,56","437,46","450,13",1.756.420.720,bitcoincash
2021-03-29,"425,02","446,38","421,23","442,40",1.794.648.423,bitcoincash
2021-03-28,"427,04","431,00","419,09","425,08",1.636.683.662,bitcoincash
2021-03-27,"431,58","434,22","415,96","427,04",1.531.797.893,bitcoincash
2021-03-26,"406,10","432,63","403,55","431,58",1.903.330.717,bitcoincash
2021-03-25,"406,36","412,39","389,91","406,17",2.062.403.412,bitcoincash
2021-03-24,"435,94","450,17","390,85","406,44",2.153.960.129,bitcoincash
2021-03-23,"430,27","449,78","428,56","436,01",2.375.517.284,bitcoincash
2021-03-22,"443,13","453,32","429,05","430,22",2.129.621.223,bitcoincash
2021-03-21,"451,28","457,21","433,64","443,09",1.635.795.179,bitcoincash
2021-03-20,"447,90","463,34","446,11","451,29",1.680.401.235,bitcoincash
2021-03-19,"444,44","462,31","436,20","447,95",1.889.389.024,bitcoincash
2021-03-18,"451,38","458,04","440,89","444,49",2.082.643.595,bitcoincash
2021-03-17,"443,78","451,36","431,80","451,36",2.218.738.584,bitcoincash
2021-03-16,"439,27","451,16","423,82","443,76",2.929.873.849,bitcoincash
2021-03-15,"466,58","474,93","435,99","439,30",3.242.646.890,bitcoincash
2021-03-14,"498,68","503,15","466,73","466,73",3.214.450.659,bitcoincash
2021-03-13,"451,12","507,87","437,49","498,81",3.844.990.636,bitcoincash
2021-03-12,"458,91","469,24","431,94","451,10",3.360.743.965,bitcoincash
2021-03-11,"458,47","471,52","445,41","458,88",3.424.566.101,bitcoincash
2021-03-10,"458,12","475,59","437,31","458,59",3.305.888.133,bitcoincash
2021-03-09,"446,39","460,78","442,92","458,12",2.334.555.866,bitcoincash
2021-03-08,"432,81","446,38","423,15","446,38",2.356.314.676,bitcoincash
